Country,Log_of_GDP_per_capita,Adults with account at a formal financial institution,Country Code,ADB Country Name
Afghanistan,7.243850846,9.961,AFG,Afghanistan
Albania,9.109496215,37.98635,ALB,
Algeria,9.020424589,50.47579,DZA,
Angola,8.658714405,29.31812,AGO,
Antigua and Barbuda,9.865617695,50.1973,ATG,
Armenia,8.710954957,17.23996,ARM,Armenia
Australia,10.64825775,98.85957,AUS,
Austria,10.64952259,96.73406,AUT,
Azerbaijan,9.217408861,29.15149,AZE,Azerbaijan
Bahamas,10.33556607,81.93935,BHS,
Bangladesh,7.467940369,29.1421,BGD,Bangladesh
Belarus,9.614909327,71.98499,BLR,
Belgium,10.56214845,98.12576,BEL,
Belize,8.92658237,48.20925,BLZ,
Benin,7.318344785,15.97993,BEN,
Bhutan,8.713034075,33.66591,BTN,Bhutan
Bolivia,8.513575433,40.71082,BOL,
Bosnia and Herzegovina,9.098974155,52.68503,BIH,
Botswana,9.649190906,49.24358,BWA,
Brazil,9.361691497,68.12315,BRA,
Brunei Darussalam,10.85389614,,BRN,
Bulgaria,9.621861309,62.98683,BGR,
Burundi,6.297703848,6.94346,BDI,
Cambodia,7.745902908,12.55649,KHM,Cambodia
Cameroon,7.714812093,11.35104,CMR,
Canada,10.6308406,99.10332,CAN,
Cape Verde,8.338600461,,CPV,
Central African Republic,6.709793837,,CAF,
Chad,7.266127599,7.699498,TCD,
Chile,9.951525004,63.21075,CHL,
"China, People's Republic of",9.036942627,78.92678,CHN,PRC
Colombia,9.217946086,38.35334,COL,
Comoros,7.086406576,,COM,
"Congo, Democratic Republic of",5.980383642,10.90759,ZAR,
"Congo, Republic of",8.360700341,16.68366,COG,
Costa Rica,9.409297261,64.55306,CRI,
Cote d'Ivoire,7.529143104,15.13626,CIV,
Croatia,9.894280905,86.02509,HRV,
Cyprus,10.33814661,90.1502,CYP,
Czech Republic,10.17386335,82.17821,CZE,
Denmark,10.6196911,100,DNK,
Dominica,9.440072076,,DMA,
Dominican Republic,9.181628699,53.98639,DOM,
Ecuador,9.132397988,68.75662,ECU,
"Egypt, Arab Republic of",8.784710276,46.21243,EGY,
El Salvador,8.832825834,13.65175,SLV,
Equatorial Guinea,10.29659218,34.63472,GNQ,
Estonia,9.998637429,97.67167,EST,
Ethiopia,6.958517107,21.79158,ETH,
Fiji,8.468851909,94.84012,FJI,Fiji
Finland,10.53154574,51.37996,FIN,
France,10.47349776,100,FRA,
Gabon,9.626989251,96.58276,GAB,
Gambia,7.524793429,30.15455,GMB,
Georgia,8.607650171,39.66507,GEO,Georgia
Germany,10.58295213,98.76041,DEU,
Ghana,7.546440133,34.61837,GHA,
Greece,10.16040434,87.51865,GRC,
Grenada,9.278513036,,GRD,
Guatemala,8.51015642,40.78673,GTM,
Guinea,6.937833616,6.170127,GIN,
Guinea-Bissau,7.099412305,,GNB,
Guyana,8.066563889,,GUY,
Haiti,7.075887556,17.4961,HTI,
Honduras,8.312061094,30.04366,HND,
"Hong Kong, China",10.83135452,96.14764,HKG,"Hong Kong, China"
Hungary,9.97371053,72.25683,HUN,
Iceland,10.50805917,,ISL,
India,8.219980725,52.75381,IND,India
Indonesia,8.437026619,35.94736,IDN,Indonesia
Iraq,8.27484175,10.97235,IRQ,
Ireland,10.63421079,94.71014,IRL,
Israel,10.32948661,89.95277,ISR,
Italy,10.39355092,87.33458,ITA,
Japan,10.42934237,96.64558,JPN,Japan
Jordan,8.694774288,24.61591,JOR,
Kazakhstan,9.481944118,53.90742,KAZ,Kazakhstan
Kenya,7.435291369,55.20554,KEN,
Kiribati,7.775794874,,KIR,
"Korea, Republic of",10.30179944,94.36082,KOR,Republic of Korea
Kuwait,10.72448381,72.90818,KWT,
Kyrgyz Republic,7.784982039,18.4706,KGZ,Kyrgyz Republic
Lao People's Democratic Republic,7.898341936,,LAO,Lao PDR
Latvia,9.855409281,90.21825,LVA,
Lebanon,9.561750685,46.92714,LBN,
Lesotho,7.530819174,,LSO,
Liberia,6.38489864,,LBR,
Lithuania,9.97873842,77.90629,LTU,
Luxembourg,11.39392364,96.16869,LUX,
Macao Special Administrative Region of the People's Republic of China,11.28326178,,MAC,
"Macedonia, Former Yugoslav Republic of",9.331958932,71.7985,MKD,
Madagascar,6.859939926,5.727489,MDG,
Malawi,6.790933429,16.13567,MWI,
Malaysia,9.687936894,80.67462,MYS,Malaysia
Maldives,9.075267326,,MDV,Maldives
Mali,7.120510829,13.25341,MLI,
Malta,10.24901808,96.328,MLT,
Mauritania,7.793076049,20.44538,MRT,
Mauritius,9.607817345,82.20827,MUS,
Mexico,9.681140648,38.69535,MEX,
"Micronesia, Federated States of",8.211525863,,FSM,Micronesia
Moldova,8.253001055,17.75575,MDA,
Mongolia,8.481624577,91.82178,MNG,Mongolia
Montenegro,9.52392739,59.82601,MNE,
Morocco,8.519439171,,MAR,
Mozambique,6.861571416,22.6204,MOZ,
Namibia,8.877651795,58.06324,NAM,
Nepal,7.24569551,33.80135,NPL,Nepal
Netherlands,10.66380888,99.2956,NLD,
New Zealand,10.33958914,99.52554,NZL,
Nicaragua,8.252341147,18.8548,NIC,
Niger,6.40839096,3.490045,NER,
Nigeria,7.827572653,44.1732,NGA,
Norway,11.01938607,100,NOR,
Oman,10.1686793,,OMN,
Pakistan,7.921692897,8.706139,PAK,Pakistan
Palau,9.786420757,,PLW,Palau
Panama,9.608968821,43.40355,PAN,
Papua New Guinea,7.893221351,,PNG,PNG
Paraguay,8.728261564,,PRY,
Peru,9.227673551,28.97523,PER,
Philippines,8.319648968,28.06573,PHL,Philippines
Poland,9.958591749,77.86217,POL,
Portugal,10.14979276,87.38635,PRT,
Qatar,11.31871364,,QAT,
Romania,9.64080948,60.79454,ROM,
Russian Federation,10.01719125,67.38309,RUS,
Rwanda,7.138597229,38.14489,RWA,
Samoa,8.388144353,,WSM,Samoa
Sao Tome and Principe,7.48806924,,STP,
Saudi Arabia,10.31041103,69.40958,SAU,
Senegal,7.542103531,11.92181,SEN,
Serbia,9.326520611,83.09234,SRB,
Seychelles,10.15585624,,SYC,
Sierra Leone,7.068597135,14.14885,SLE,
Singapore,11.01976921,96.3526,SGP,Singapore
Slovak Republic,10.09017212,77.24139,SVK,
Slovenia,10.21572509,97.24451,SVN,
Solomon Islands,8.007437215,7.855717,SLB,Solomon Islands
South Africa,9.30821728,68.76723,ZAF,
Spain,10.37619173,97.57531,ESP,
Sri Lanka,8.628133915,82.69138,LKA,Sri Lanka
St. Kitts and Nevis,9.798935287,,KNA,
St. Lucia,9.335251463,,LCA,
St. Vincent and the Grenadines,9.266138014,28.90136,VCT,
Sudan,7.66474416,15.26843,SDN,
Suriname,9.030863493,,SUR,
Swaziland,8.57243434,,SWZ,
Sweden,10.63231571,99.71992,SWE,
Switzerland,10.84402431,97.98564,CHE,
Tajikistan,7.641461861,11.45923,TJK,Tajikistan
Tanzania,7.318824672,19.04123,TZA,
Thailand,9.1090391,78.13655,THA,Thailand
Timor-Leste,7.366506467,,TMP,Timor-Leste
Tonga,8.494729935,17.61492,TON,Tonga
Trinidad and Tobago,10.15795104,,TTO,
Tunisia,9.140523802,27.26323,TUN,
Turkey,9.755077135,56.51257,TUR,
Uganda,7.185604461,27.78342,UGA,
Ukraine,8.883124044,52.71481,UKR,
United Arab Emirates,10.61218597,83.20432,ARE,
United States,10.78129938,93.5838,USA,
Uruguay,9.624145098,45.35541,URY,
Uzbekistan,8.098774816,40.71001,UZB,Uzbekistan
Vanuatu,8.411824232,,VUT,Vanuatu
"Venezuela, Bolivarian Republic of",9.446549535,56.85735,VEN,
Viet Nam,8.136596429,30.86436,VNM,Viet Nam
"Yemen, Republic of",7.818096732,6.448482,YEM,
Zambia,7.383281245,31.29242,ZMB,
